Node,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20
196,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
221,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
201,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
212,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
213,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
217,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
206,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
215,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
207,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
210,4,4,6,3,9,4,4,9,3,12,8,5,9,0,5,10,4,1,3,6
204,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
143,5,0,1,11,3,0,5,2,10,11,5,0,1,8,1,2,10,14,7,9
211,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
209,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
224,4,4,6,3,9,4,4,9,3,12,8,5,9,0,5,10,4,1,3,6
218,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
226,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
227,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
230,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
231,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
232,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
233,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
234,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
41,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
150,6,2,4,6,10,1,2,10,9,3,7,12,3,10,12,1,11,8,1,1
47,5,6,14,8,5,6,10,1,0,1,0,4,1,7,9,9,9,14,6,11
139,2,2,0,4,10,1,5,10,8,8,5,0,0,3,0,0,5,13,10,0
237,2,2,0,4,10,1,5,10,8,8,5,0,0,3,0,0,5,13,10,0
46,5,6,14,8,5,6,10,1,0,1,12,4,1,7,9,9,9,14,6,11
247,12,2,13,12,11,11,13,7,13,13,12,13,11,3,7,0,1,13,4,7
242,5,6,14,8,5,6,10,1,0,1,0,4,1,7,9,9,9,14,6,11
245,3,6,9,8,5,6,1,1,0,1,12,4,1,7,9,5,9,3,6,11
317,12,6,13,12,11,11,13,7,13,13,10,13,11,1,7,12,1,6,4,7
24,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
249,12,2,13,12,11,11,13,7,13,13,12,13,11,3,7,0,1,13,4,7
251,7,1,3,0,1,2,11,0,1,4,2,2,8,0,10,5,3,4,7,4
48,7,1,3,0,1,2,11,0,1,4,2,2,8,0,10,5,3,4,7,4
10,7,1,3,5,0,2,11,5,1,4,2,2,8,0,10,7,13,4,8,4
252,7,1,3,0,1,2,11,0,1,4,2,2,8,0,10,5,3,4,7,4
254,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
255,5,2,14,8,5,6,13,7,0,1,0,4,1,3,9,0,1,13,6,7
257,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
259,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
261,0,11,10,5,0,9,0,5,12,7,9,7,4,4,13,6,13,0,8,12
62,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
66,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
263,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
265,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
264,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
266,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
271,0,11,10,5,0,9,0,5,12,7,9,7,4,4,13,6,13,0,8,12
268,11,5,12,1,7,2,3,8,1,2,1,6,6,2,2,7,0,2,9,8
267,11,5,12,1,7,2,3,8,1,2,1,6,6,2,2,7,0,2,9,8
272,11,5,12,1,7,2,3,8,1,2,1,6,6,2,2,7,0,2,9,8
274,8,3,5,4,6,1,7,11,2,8,6,11,5,13,4,13,5,7,11,5
69,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,5,7,11,5
283,8,3,5,4,6,1,7,11,2,8,6,11,5,13,4,13,5,7,11,5
275,8,3,5,4,6,1,7,11,2,8,6,11,5,13,4,13,5,7,11,5
277,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,5,7,11,5
90,0,11,10,5,0,9,0,5,12,7,9,7,4,4,13,6,13,0,8,12
279,11,5,12,1,7,2,3,8,1,2,1,6,6,2,2,7,0,2,9,8
269,11,5,12,1,7,2,3,8,1,2,1,6,6,2,2,7,0,2,9,8
285,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
